Sales Person,Geo,Product,Date,Amount,Boxes
SP16,G1,P06,2022-08-19,7651,426
SP18,G1,P09,2022-08-19,2079,260
SP02,G4,P10,2022-08-19,2100,81
SP25,G5,P20,2022-08-19,5278,406
SP01,G2,P10,2022-08-19,4249,164
SP12,G2,P05,2022-08-19,3976,210
SP20,G2,P11,2022-08-19,6951,218
SP25,G6,P10,2022-08-19,616,25
SP09,G6,P13,2022-08-19,5439,287
SP10,G1,P02,2022-08-19,63,7
SP10,G3,P15,2022-08-19,1533,110
SP20,G2,P19,2022-08-19,3535,322
SP13,G3,P10,2022-08-19,2429,111
SP03,G1,P04,2022-08-19,7119,356
SP02,G4,P07,2022-08-19,3521,118
SP08,G2,P11,2022-08-19,3745,118
SP16,G5,P14,2022-08-19,4816,301
SP02,G6,P15,2022-08-19,1736,193
SP17,G5,P19,2022-08-19,1099,92
SP14,G6,P11,2022-08-19,6692,231
SP02,G5,P15,2022-08-22,364,31
SP08,G3,P13,2022-08-22,10927,476
SP12,G4,P13,2022-08-22,11410,476
SP24,G1,P16,2022-08-22,2443,82
SP14,G3,P14,2022-08-22,329,26
SP04,G4,P07,2022-08-22,3066,128
SP19,G4,P15,2022-08-22,567,38
SP14,G4,P20,2022-08-22,14721,1052
SP09,G4,P21,2022-08-22,6986,350
SP06,G2,P13,2022-08-22,14112,784
SP08,G6,P20,2022-08-22,1771,137
SP15,G5,P22,2022-08-22,5082,231
SP12,G3,P03,2022-08-22,1827,102
SP18,G1,P07,2022-08-22,182,7
SP08,G4,P21,2022-08-22,5369,269
SP06,G2,P07,2022-08-22,6034,275
SP09,G3,P05,2022-08-22,13209,881
SP12,G5,P17,2022-08-22,847,30
SP22,G3,P02,2022-08-22,1015,64
SP14,G3,P02,2022-08-23,16247,2031
SP21,G3,P15,2022-08-23,2422,303
SP10,G3,P22,2022-08-23,3997,174
SP24,G2,P03,2022-08-23,7182,479
SP21,G1,P05,2022-08-23,1246,70
SP24,G6,P06,2022-08-23,553,27
SP23,G2,P12,2022-08-23,2681,207
SP20,G5,P15,2022-08-23,2800,234
SP23,G6,P04,2022-08-23,4851,304
SP05,G3,P17,2022-08-23,168,6
SP11,G5,P12,2022-08-23,315,21
SP04,G3,P06,2022-08-23,11851,741
SP14,G4,P07,2022-08-23,3220,147
SP05,G6,P19,2022-08-23,11935,1194
SP03,G3,P22,2022-08-23,12404,478
SP22,G5,P12,2022-08-24,1519,90
SP22,G1,P17,2022-08-24,10934,476
SP25,G6,P22,2022-08-24,3346,129
SP24,G3,P10,2022-08-24,8351,398
SP12,G6,P14,2022-08-24,11718,733
SP17,G3,P10,2022-08-24,2681,117
SP22,G1,P02,2022-08-24,6188,563
SP11,G5,P08,2022-08-24,10941,521
SP11,G3,P01,2022-08-24,3647,141
SP23,G3,P22,2022-08-25,2436,122
SP11,G3,P17,2022-08-25,896,41
SP04,G2,P17,2022-08-25,3808,174
SP04,G3,P05,2022-08-25,10920,683
SP13,G4,P12,2022-08-25,4186,299
SP24,G3,P13,2022-08-25,6797,309
SP24,G5,P10,2022-08-25,4319,155
SP16,G3,P20,2022-08-25,1673,105
SP20,G4,P03,2022-08-25,735,35
SP20,G5,P11,2022-08-25,2632,106
SP04,G4,P09,2022-08-25,2030,170
SP03,G2,P18,2022-08-25,1169,47
SP09,G4,P05,2022-08-25,3703,206
SP01,G6,P14,2022-08-25,805,54
SP23,G6,P20,2022-08-25,406,21
SP20,G5,P09,2022-08-25,3591,360
SP20,G6,P14,2022-08-25,5551,463
SP24,G5,P14,2022-08-25,3605,258
SP09,G3,P03,2022-08-25,6356,374
SP24,G5,P19,2022-08-25,602,41
SP23,G1,P14,2022-08-26,7042,470
SP22,G5,P03,2022-08-26,2968,142
SP10,G1,P22,2022-08-26,294,17
SP05,G4,P11,2022-08-26,6363,213
SP09,G2,P12,2022-08-26,280,18
SP11,G3,P21,2022-08-26,406,29
SP18,G4,P07,2022-08-26,4144,139
SP08,G4,P01,2022-08-26,5341,173
SP17,G5,P12,2022-08-26,2947,197
SP02,G4,P19,2022-08-26,12026,926
SP10,G4,P20,2022-08-26,3983,307
SP04,G1,P14,2022-08-26,1792,163
SP01,G6,P01,2022-08-26,1526,67
SP20,G2,P16,2022-08-26,5313,190
SP08,G6,P11,2022-08-26,7728,242
SP16,G3,P13,2022-08-26,413,22
SP21,G1,P14,2022-08-26,4431,493
SP03,G2,P12,2022-08-26,1036,58
SP21,G2,P09,2022-08-26,217,25
SP15,G1,P19,2022-08-26,7616,693
SP12,G6,P16,2022-08-26,11900,518
SP25,G4,P19,2022-08-26,10437,1044
SP18,G1,P12,2022-09-01,5691,335
SP22,G5,P04,2022-09-01,5397,300
SP08,G2,P16,2022-09-01,3276,143
SP09,G4,P07,2022-09-01,4102,187
SP02,G5,P18,2022-09-01,476,18
SP14,G3,P16,2022-09-01,4858,157
SP09,G3,P08,2022-09-01,7259,404
SP08,G1,P03,2022-09-02,6209,311
SP09,G4,P16,2022-09-02,12390,539
SP20,G6,P21,2022-09-02,686,41
SP18,G4,P01,2022-09-02,9030,312
SP14,G3,P03,2022-09-02,5376,256
SP24,G5,P17,2022-09-02,2898,126
SP01,G2,P03,2022-09-02,18900,945
SP18,G2,P11,2022-09-02,5082,182
SP16,G5,P04,2022-09-02,2016,107
SP10,G2,P20,2022-09-02,847,50
SP10,G4,P15,2022-09-03,4200,350
SP03,G4,P22,2022-09-03,17577,977
SP09,G1,P09,2022-09-03,861,96
SP03,G3,P07,2022-09-03,3829,142
SP01,G6,P18,2022-09-03,1155,37
SP19,G5,P15,2022-09-03,11123,1391
SP22,G4,P15,2022-09-03,8505,532
SP05,G2,P07,2022-09-03,4130,138
SP14,G5,P01,2022-09-03,420,15
SP07,G5,P06,2022-09-03,994,63
SP13,G6,P05,2022-09-03,3689,176
SP16,G2,P06,2022-09-03,13195,880
